ParentElement;Name;Source;Target;NoDirectional;ShortName;CurrentNotes;URL;Orientation;Description;Alignment;Width;Height;Space;FixedSize;Hide;HideText;HideImportState;ShowBorder;Picture;Shape;RGBBackground;RGBForeground;IsAdjacent;AdjacenedNode;Info;ChildrenInLine;ChildrenInLineImportState;ChildrenInLineDescription;ChildrenInLineDuringReduction;ChildrenInLineDescriptionDuringReduction;LineBreak;UseShortName;HighLevelContent;TechnicalID;LogicalSize;FillLine;BreakLine;SuperType;SourceMany;TargetMany;BoxViewElementList;AbstractionLevel;OnlyVisual;LogicalName;Lines;FontFactor;ComponentReferenceIdent;PathReferenceIdent;DataAssociationByAttributes;SchemaFromValues;IsColored;Bold;MetaComponent;ShapeX;ShapeY;ShapeWidth;ShapeHeight;LabelVerticalAlignment;StartFilter;ContainsFilter;EndFilter
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessagesForCategory;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessagesForCategory/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessagesForCategory/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessagesForCategory;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessagesForCategory/Output;;;;Output;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessagesForCategory/Output;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableSomeErrorMessages;;;;retryRetryableSomeErrorMessages;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableSomeErrorMessages;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableSomeErrorMessages/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableSomeErrorMessages/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableSomeErrorMessages;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableSomeErrorMessages/Output;;;;Output;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableSomeErrorMessages/Output;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getMessageStatisticsForSafeOrderedObject;;;;getMessageStatisticsForSafeOrderedObject;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getMessageStatisticsForSafeOrderedObject;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getMessageStatisticsForSafeOrderedObject/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getMessageStatisticsForSafeOrderedObject/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getMessageStatisticsForSafeOrderedObject;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getMessageStatisticsForSafeOrderedObject/Output;;;;Output;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getMessageStatisticsForSafeOrderedObject/Output;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getTotalStatistics;;;;getTotalStatistics;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getTotalStatistics;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getTotalStatistics/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/getTotalStatistics/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
