"Attribute";"Description";"MetaComponent";"LogicalPath";"Infrastructure";"DataType";"Values";"Entity";"Length";"Precision";"Scale";"Format";"Multiplicity";"MinValue";"MaxValue";"PhysicalAttribute";"BusinessObjectDependency";"BusinessObjectAttributeDependency";"Remark";"RequirementId";"Component";"Physical";"PhysicalEntity";"URL";"Discriminator";"BusinessObject";"BusinessFunction";"BusinessProcess";"Technology";"BusinessContact";"TechnologyContact";"ImplicitImport";"IsBusinessObjectAttribute";"BusinessObjectAttributeMapping";"BusinessObjectAttributeMappingDiscriminator";"BusinessObjectMapping";"BusinessObjectMappingDiscriminator";"NameInBusinessLanguage";"ConstantValue";"MetaType";"GUIName";"GUIType";"Namespace";"Nullable"
"OrgType";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-NamedInsured/OrgType";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"Subtype";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/Subtype";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"AccountContact";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact";"";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Complex";"";"";"http://guidewire.com/pc/gx/gw.webservice.pc.pc1000.gxmodel.accountcontactrolemodel";""
"Contact";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact";"";"Contact";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Complex";"";"";"http://guidewire.com/pc/gx/gw.webservice.pc.pc1000.gxmodel.contactmodel";""
"EmailAddress1";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact/EmailAddress1";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"PrimaryAddress";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact/PrimaryAddress";"";"Address";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Complex";"";"";"http://guidewire.com/pc/gx/gw.webservice.pc.pc1000.gxmodel.addressmodel";""
"City";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact/PrimaryAddress/City";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"State";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact/PrimaryAddress/State";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"AddressLine3";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact/PrimaryAddress/AddressLine3";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"AddressBookUID";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact/PrimaryAddress/AddressBookUID";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"CityKanji";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact/PrimaryAddress/CityKanji";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"PostalCode";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact/PrimaryAddress/PostalCode";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"CEDEX";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/AccountContact/Contact/PrimaryAddress/CEDEX";"";"boolean";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
